,word,pos,dependency_label,id,parent,EOS
0,hey,UH,discourse,0,1,0
1,sir,VB,root,1,-1,0
2,i,PRP,nsubj,2,3,0
3,have,VBP,parataxis,3,1,0
4,a,DT,det,4,5,0
5,question,NN,obj,5,3,0
6,on,IN,case,6,7,0
7,software,NN,nmod,7,5,0
8,i,PRP,nsubj,8,10,0
9,am,VBP,aux,9,10,0
10,doing,VBG,acl:relcl,10,5,0
11,that,DT,det,11,12,0
12,timeline,NN,obj,12,10,0
13,for,IN,case,13,14,0
14,john,NNP,obl,14,10,0
15,but,CC,cc,15,18,0
16,i,PRP,nsubj,16,18,0
17,am,VBP,aux,17,18,0
18,trying,VBG,conj,18,3,0
19,name,NN,xcomp,19,18,0
20,the,DT,det,20,21,0
21,identity,NN,obj,21,19,0
22,the,DT,det,22,23,0
23,guys,NNS,nsubj,23,24,0
24,name,VBP,parataxis,24,19,0
25,for,IN,case,25,27,0
26,a,DT,det,26,27,0
27,event,NN,obl,27,24,0
28,and,CC,cc,28,31,0
29,the,DT,det,29,31,0
30,next,JJ,amod,30,31,0
31,event,NN,conj,31,27,0
32,ha,UH,discourse,32,19,1
33,s,VBZ,cop,0,4,0
34,the,DT,det,1,4,0
35,same,JJ,amod,2,4,0
36,guys,NNS,compound,3,4,0
37,name,NN,root,4,-1,0
38,as,IN,case,5,7,0
39,the,DT,det,6,7,0
40,first,JJ,obl,7,4,0
41,but,CC,cc,8,12,0
42,it,PRP,nsubj,9,12,0
43,will,MD,aux,10,12,0
44,not,RB,advmod,11,12,0
45,let,VB,conj,12,4,0
46,me,PRP,obj,13,12,0
47,to,TO,mark,14,15,0
48,name,VB,xcomp,15,12,0
49,the,DT,det,16,18,0
50,second,JJ,amod,17,18,0
51,identity,NN,obj,18,15,0
52,the,DT,det,19,20,0
53,same,JJ,xcomp,20,15,0
54,as,IN,mark,21,25,0
55,the,DT,det,22,24,0
56,first,JJ,amod,23,24,0
57,identity,NN,nsubj,24,25,0
58,is,VBZ,advcl,25,20,0
59,there,EX,advmod,26,25,0
60,a,DT,det,27,28,0
61,way,NN,obj,28,25,0
62,around,IN,case,29,30,0
63,that,DT,nmod,30,28,0
64,or,CC,cc,31,32,0
65,some,DT,conj,32,28,1
66,thing,VBP,root,0,-1,0
67,that,IN,mark,1,3,0
68,i,PRP,nsubj,2,3,0
69,have,VBP,ccomp,3,-10,0
70,to,TO,mark,4,5,0
71,do,VB,xcomp,5,3,0
72,to,TO,mark,6,7,0
73,allow,VB,advcl,7,5,0
74,me,PRP,obj,8,7,0
75,to,TO,mark,9,10,0
76,do,VB,advcl,10,7,0
77,it,PRP,obj,11,10,1
78,the,DT,det,0,2,0
79,identity,NN,compound,1,2,0
80,field,NN,nsubj,2,5,0
81,must,MD,aux,3,5,0
82,be,VB,cop,4,5,0
83,unique,JJ,root,5,-1,0
84,",",",",punct,6,10,0
85,but,CC,cc,7,10,0
86,you,PRP,nsubj,8,10,0
87,can,MD,aux,9,10,0
88,use,VB,conj,10,5,0
89,label,NN,obj,11,10,0
90,instead,RB,advmod,12,10,1
91,ok,UH,discourse,0,1,0
92,thank,VB,root,1,-1,0
93,u,PRP,nsubj,2,3,0
94,sir,VB,parataxis,3,1,1
95,go,VB,root,0,-1,0
96,to,TO,mark,1,2,0
97,item,NN,xcomp,2,-10,0
98,properties,NNS,obj,3,2,0
99,and,CC,cc,4,6,0
100,select,JJ,amod,5,6,0
101,label,NN,conj,6,2,1
102,ok,JJ,amod,0,1,0
103,kewl,NN,root,1,-1,1
104,is,VBZ,root,0,-1,0
105,there,EX,expl,1,-10,0
106,a,DT,det,2,3,0
107,way,NN,nsubj,3,-10,0
108,to,TO,mark,4,5,0
109,copy,VB,acl,5,3,0
110,the,DT,det,6,8,0
111,entire,JJ,amod,7,8,0
112,event,NN,obj,8,5,0
113,and,CC,cc,9,10,0
114,paste,VB,conj,10,5,0
115,it,PRP,obj,11,10,0
116,for,IN,case,12,14,0
117,the,DT,det,13,14,0
118,next,NN,obl,14,10,0
119,?,.,punct,15,-10,1
120,should,MD,aux,0,2,0
121,be,VB,cop,1,2,0
122,able,JJ,root,2,-1,0
123,to,TO,mark,3,4,0
124,copy,VB,xcomp,4,2,0
125,an,DT,det,5,6,0
126,paste,NN,obj,6,4,0
127,anything,NN,appos,7,6,0
128,on,IN,case,8,10,0
129,the,DT,det,9,10,0
130,chart,NN,nmod,10,7,0
131,",",",",punct,11,2,0
132,yes,UH,discourse,12,2,1
133,hmmm,UH,discourse,0,4,0
134,it,PRP,nsubj,1,4,0
135,will,MD,aux,2,4,0
136,not,RB,advmod,3,4,0
137,allow,VB,root,4,-1,0
138,me,PRP,obj,5,4,0
139,to,IN,case,6,7,0
140,i,PRP,obl,7,4,0
141,right,RB,advmod,8,9,0
142,click,VB,parataxis,9,4,0
143,on,IN,case,10,14,0
144,the,DT,det,11,14,0
145,event,NN,compound,12,13,0
146,hit,NN,compound,13,14,0
147,copy,NN,obl,14,9,0
148,and,CC,cc,15,17,0
149,right,RB,advmod,16,17,0
150,click,VB,conj,17,9,0
151,else,JJ,advmod,18,17,0
152,where,WRB,advmod,19,17,0
